Name,Ticker,"Sub-Sector","Market Cap","Close Price","PE Ratio"
Alkem Laboratories Ltd,ALKEM,"Pharmaceuticals","36384.227325","3031.35","22.109738168592973"
Aditya Birla Capital Ltd,ABCAPITAL,"Diversified Financials","36157.80459808","145.3","21.194865441994864"
Steel Authority of India Ltd,SAIL,"Iron & Steel","36100.791025859995","85.9","2.9485751201138255"
NMDC Ltd,NMDC,"Mining - Iron Ore","35709.43228225","121.8","3.8073613300121023"
Honeywell Automation India Ltd,HONAUT,"Electronic Equipments","35254.202526434994","39846.4","103.95483303286338"
One 97 Communications Ltd,PAYTM,"Business Support Services","35161.45705605","551.35","-14.694077084729829"
Dalmia Bharat Ltd,DALBHARAT,"Cement","35155.280884995","1875.45","30.73014063373689"
Hindustan Petroleum Corp Ltd,HINDPETRO,"Oil & Gas - Refining & Marketing","34889.196545275","249.9","4.783122625044053"
General Insurance Corporation of India,GICRE,"Insurance","34263.432","180.75","14.35857300305498"
Star Health and Allied Insurance Company Ltd,STARHEALTH,"Insurance","33959.75388155","585.75","-32.63227301528808"
Lupin Ltd,LUPIN,"Pharmaceuticals","33781.891171","738.1","-22.10798877712627"
Gujarat Gas Ltd,GUJGASLTD,"Gas Distribution","33734.558075625","481.05","26.204244370790867"
Godrej Properties Ltd,GODREJPROP,"Real Estate","33711.431989820005","1199.85","95.67055081255494"
Jubilant Foodworks Ltd,JUBLFOOD,"Restaurants & Cafes","33174.5390383","498","78.9155978835815"
Petronet LNG Ltd,PETRONET,"Oil & Gas - Storage & Transportation","33075.0019404","217.9","9.620111613764562"
Gujarat Fluorochemicals Ltd,FLUOROCHEM,"Specialty Chemicals","32892.93475","2930.85","41.78631648817916"
REC Ltd,RECLTD,"Specialized Finance","32612.47924","123.7","3.2496466853333597"
Embassy Office Parks REIT,EMBASSY,"Real Estate","32216.064643341","340.09","36.26342557136055"
Vedant Fashions Ltd,MANYAVAR,"Textiles","31389.411870795","1299.4","99.67740583276176"
UNO Minda Ltd,UNOMINDA,"Auto Parts","31276.330530409996","539.15","87.90424544803227"
Oberoi Realty Ltd,OBEROIRLTY,"Real Estate","31231.422","853.65","29.826874480703673"
APL Apollo Tubes Ltd,APLAPOLLO,"Building Products - Pipes","31169.210185459997","1119.6","55.92996498315068"
Biocon Ltd,BIOCON,"Biotechnology","31044.0477616","256.35","47.877926837754366"
Supreme Industries Ltd,SUPREMEIND,"Plastic Products","30308.611182","2450.15","31.295999981413583"
Persistent Systems Ltd,PERSISTENT,"Software Services","30032.78635","3851.9","43.50118968988541"
Indraprastha Gas Ltd,IGL,"Gas Distribution","29512.033728","416.85","19.644959779533643"
Linde India Ltd,LINDEINDIA,"Commodity Chemicals","29286.175757085","3364.15","57.73974439992311"
Mahindra and Mahindra Financial Services Ltd,M&MFIN,"Consumer Finance","29069.429106","233.8","25.569703753287516"
Federal Bank Ltd,FEDERALBNK,"Private Banks","28905.937705559998","134.6","14.674703624546916"
Bharat Heavy Electricals Ltd,BHEL,"Heavy Electrical Equipments","28535.509194225","81.75","63.9766589561802"
Escorts Ltd,ESCORTS,"Tractors","28123.60688833","2164.9","38.18703665910352"
Central Bank of India Ltd,CENTRALBK,"Public Banks","27735.601485240004","31.45","25.781613033435892"
Voltas Ltd,VOLTAS,"Home Electronics & Appliances","26783.4652793","814.55","53.132308276895074"
Coromandel International Ltd,COROMANDEL,"Fertilizers & Agro Chemicals","26538.789993485","901.75","17.363090950031424"
Deepak Nitrite Ltd,DEEPAKNTR,"Commodity Chemicals","26510.033413965","1936.55","24.853777670033956"
Aditya Birla Fashion and Retail Ltd,ABFRL,"Retail - Apparel","26403.652219385","277.55","-242.85919995755137"
Sundaram Finance Ltd,SUNDARMFIN,"Consumer Finance","26306.844951825","2326.75","22.420479103946843"
Gland Pharma Ltd,GLAND,"Pharmaceuticals","26088.57822543","1565.15","21.531269684094568"
Aurobindo Pharma Ltd,AUROPHARMA,"Pharmaceuticals","26009.81485351","442.05","9.821881258051842"
Oracle Financial Services Software Ltd,OFSS,"Software Services","25974.613287314998","2996.3","13.75169458729213"
Max Financial Services Ltd,MFSL,"Insurance","25379.74025934","741.55","100.16078084904761"
Vodafone Idea Ltd,IDEA,"Telecom Services","25373.88982915","7.8","-0.8983370683066978"
Phoenix Mills Ltd,PHOENIXLTD,"Real Estate","25271.44391556","1416.7","106.46884022396368"
3M India Ltd,3MINDIA,"Stationery","25220.238716","22294.4","92.73510338285047"
Motherson Sumi Wiring India Ltd,MSUMI,"Cables","25067.68196877","55.1","61.03647910584367"
Sumitomo Chemical India Ltd,SUMICHEM,"Commodity Chemicals","24480.60262212","492.85","57.79861320297492"
AIA Engineering Ltd,AIAENG,"Industrial Machinery","24478.9656261","2510.3","39.50259105683574"
GMR Infrastructure Ltd,GMRINFRA,"Construction & Engineering","24385.218911","40.15","-23.830213244534804"
Sona BLW Precision Forgings Ltd,SONACOMS,"Auto Parts","24275.599964","417.5","67.14313363020332"
Fertilisers And Chemicals Travancore Ltd,FACT,"Fertilizers & Agro Chemicals","24038.7238341","352.95","68.04439491083565"
Tata Chemicals Ltd,TATACHEM,"Diversified Chemicals","24001.86273177","948.3","19.085147128520582"
Coforge Ltd,COFORGE,"IT Services & Consulting","23997.44428697","3901","36.26635074349399"
Delhivery Ltd,DELHIVERY,"Logistics","23741.011449235","320.8","-23.48293400452527"
Metro Brands Ltd,METROBRAND,"Footwear","23693.327232555","862.95","111.97753784467596"
Syngene International Ltd,SYNGENE,"Labs & Life Sciences Services","23620.23518661","596.1","59.67719855131383"
Atul Ltd,ATUL,"Diversified Chemicals","23430.211486025","7829.05","38.775049624375235"
Timken India Ltd,TIMKEN,"Industrial Machinery","23413.71142585","3057.9","71.57967418480597"
Torrent Power Ltd,TORNTPOWER,"Power Transmission & Distribution","23290.689352639998","480.95","51.30333792819035"
LIC Housing Finance Ltd,LICHSGFIN,"Home Financing","23127.398835","404.95","10.118521573731751"
Zee Entertainment Enterprises Ltd,ZEEL,"TV Channels & Broadcasters","23028.4530945","237.8","23.873577746734398"
CPSE ETF,CPSEETF,"Equity","23025.673136880003","37.59",
Kansai Nerolac Paints Ltd,KANSAINER,"Paints","22928.3394874","419.4","63.89215707351056"
Dixon Technologies (India) Ltd,DIXON,"Home Electronics & Appliances","22862.7649369","3817.45","120.22277402797535"
SKF India Ltd,SKFINDIA,"Industrial Machinery","22818.58620228","4593.4","57.7744232385052"
Oil India Ltd,OIL,"Oil & Gas - Exploration & Production","22815.88528176","208.8","4.058588929146882"
Poonawalla Fincorp Ltd,POONAWALLA,"Consumer Finance","22398.788084425","289.25","59.71099404037373"
New India Assurance Company Ltd,NIACL,"Insurance","22297.44","127.85","114.60444078947249"
J K Cement Ltd,JKCEMENT,"Cement","22286.48163593","2873.65","32.43462806486499"
Rajesh Exports Ltd,RAJESHEXPO,"Precious Metals, Jewellery & Watches","22275.887606754997","796.55","22.073036402218325"
Relaxo Footwears Ltd,RELAXO,"Footwear","22130.77011963","896.4","95.11247257877784"
Punjab & Sind Bank,PSB,"Public Banks","22095.583817220002","31.9","21.26517859315722"
GlaxoSmithKline Pharmaceuticals Ltd,GLAXO,"Pharmaceuticals","22060.90077765","1300.85","13.0174310668724"
Aarti Industries Ltd,AARTIIND,"Specialty Chemicals","21982.2446824","599.05","16.816411296292046"
Thermax Limited,THERMAX,"Industrial Machinery","21970.5961117","1963","70.34867955460925"
L&T Finance Holdings Ltd,L&TFH,"Diversified Financials","21955.57654984","86.9","20.51712118365402"
IPCA Laboratories Ltd,IPCALAB,"Pharmaceuticals","21776.701552029997","854.4","24.632048629117296"
Fortis Healthcare Ltd,FORTIS,"Hospitals & Diagnostic Centres","21674.848429079997","284.85","39.04533871789885"
Bayer Cropscience Ltd,BAYERCROP,"Fertilizers & Agro Chemicals","21589.95628634","4732.9","33.45723893745542"
Crompton Greaves Consumer Electricals Ltd,CROMPTON,"Home Electronics & Appliances","21543.807482120003","337.65","37.248534669456085"
CRISIL Ltd,CRISIL,"Stock Exchanges & Ratings","21538.54953076","2941.2","46.23891614769966"
Apollo Tyres Limited,APOLLOTYRE,"Tires & Rubber","21482.28949845","327.75","33.63913734274414"
Grindwell Norton Ltd,GRINDWELL,"Industrial Machinery","21256.0256","1936.15","71.89834122581519"
Sundram Fasteners Ltd,SUNDRMFAST,"Auto Parts","21109.4960502","991.1","46.219775902522166"
Bata India Ltd,BATAINDIA,"Footwear","21015.5380654","1624.85","204.0145429123402"
Bank of Maharashtra Ltd,MAHABANK,"Public Banks","20931.84395017","30.7","18.147476613379247"
Devyani International Ltd,DEVYANI,"Restaurants & Cafes","20914.22352208","171.4","133.78253388396317"
Vinati Organics Ltd,VINATIORGA,"Specialty Chemicals","20726.51429275","2016.4","59.796071469476644"
PB Fintech Ltd,POLICYBZR,"Online Services","20702.2038805","460.6","-24.855271134336245"
Laurus Labs Ltd,LAURUSLABS,"Pharmaceuticals","20390.630765875","373.85","24.640650094106487"
Mindspace Business Parks REIT,MINDSPACE,"Real Estate","20155.501969816","342.25","47.558994737649826"
Pfizer Ltd,PFIZER,"Pharmaceuticals","19996.10491854","4331.7","32.64350417679901"
Hatsun Agro Product Ltd,HATSUN,"FMCG - Foods","19891.4648931","897.4","91.27874859168499"
Endurance Technologies Ltd (CN),ENDURANCE,"Auto Parts","19769.45997216","1400.05","42.91178635155187"
Navin Fluorine International Ltd,NAVINFLUOR,"Specialty Chemicals","19543.79726155","3862.9","74.29124286900822"
Whirlpool of India Ltd,WHIRLPOOL,"Home Electronics & Appliances","19184.92377345","1501","33.87348159939612"
Piramal Enterprises Ltd,PEL,"Diversified Financials","19095.99870897","798","9.929748536989557"
Sun Tv Network Ltd,SUNTV,"TV Channels & Broadcasters","18990.9378378","479.95","11.5671444985991"
Prestige Estates Projects Ltd,PRESTIGE,"Real Estate","18960.7562342","466.55","16.487614116695646"
Five-Star Business Finance Ltd,FIVESTAR,"Consumer Finance","18930.0568164","637.25","41.73845044847204"
Kajaria Ceramics Ltd,KAJARIACER,"Building Products - Ceramics","18810.93729425","1158.3","49.89903255941961"
Dr. Lal PathLabs Ltd,LALPATHLAB,"Hospitals & Diagnostic Centres","18789.86965744","2225","54.488660414801075"
Emami Ltd,EMAMILTD,"FMCG - Personal Products","18651.822","420.35","22.231545448044038"
IRB Infrastructure Developers Ltd,IRB,"Construction & Engineering","18603.1395","302.5","51.476630509975294"
KPIT Technologies Ltd,KPITTECH,"IT Services & Consulting","18457.5413738","716.65","67.30433698147608"
IIFL Finance Ltd,IIFL,"Investment Banking & Brokerage","18452.671092495002","457.7","15.533858988547028"
Blue Dart Express Ltd,BLUEDART,"Logistics","18287.1187338","7675.45","47.84573594045163"
KPR Mill Ltd,KPRMILL,"Textiles","18097.34223","518.55","21.497365568278994"
Carborundum Universal Ltd,CARBORUNIV,"Industrial Machinery","17592.67070832","897.3","52.776956585828174"
Tata Teleservices (Maharashtra) Ltd,TTML,"Telecom Services","17379.30749303","87.3","-14.303956784386832"
ZF Commercial Vehicle Control Systems India Ltd,ZFCVINDIA,"Auto Parts","17233.4726328","9133.7","121.29414859797255"
Bharat Dynamics Ltd,BDL,"Aerospace & Defense Equipments","17213.775","937.1","34.43305928948632"
Fine Organic Industries Ltd,FINEORG,"Specialty Chemicals","17075.3071338","5576.65","65.77291758329797"
Trident Ltd,TRIDENT,"Textiles","17046.43002126","33.7","20.44549327887255"
Ramco Cements Ltd,RAMCOCEM,"Cement","16777.9404419","713.85","19.03382996993692"
Mazagon Dock Shipbuilders Ltd,MAZDOCK,"Shipbuilding","16425.6336","802.85","26.890239015126767"
Gillette India Ltd,GILLETTE,"FMCG - Personal Products","16354.357486215","4996.55","56.524928234939445"
ICICI Securities Ltd,ISEC,"Investment Banking & Brokerage","16143.101198704999","496.3","11.67590134435484"
IIFL Wealth Management Ltd,IIFLWAM,"Asset Management","15926.10742562","1775.25","27.567173415530004"
Nippon Life India Asset Management Ltd,NAM-INDIA,"Asset Management","15709.68065103","250.3","21.110622246600194"
Clean Science and Technology Ltd,CLEAN,"Specialty Chemicals","15659.944436295002","1458.2","68.53667309858199"
Gujarat State Petronet Ltd,GSPL,"Gas Distribution","15572.2339776","275.55","9.505175504703077"
UTI-Sensex Exchange Traded Fund,UTISENSETF,"Equity","15502.995608939998","637.56",
J B Chemicals and Pharmaceuticals Ltd,JBCHEPHARM,"Pharmaceuticals","15425.509576235001","1952.5","40.02779037349823"
Exide Industries Ltd,EXIDEIND,"Batteries","15351","178.4","3.5152841927853204"
Ajanta Pharma Ltd,AJANTPHARM,"Pharmaceuticals","15263.54971515","1187.2","21.41711527635125"
Aptus Value Housing Finance India Ltd,APTUS,"Home Financing","15086.690391545002","301.8","40.760517633115406"
Rail Vikas Nigam Ltd,RVNL,"Specialized Finance","15022.5698205","72.45","12.70203503919031"
National Aluminium Co Ltd,NATIONALUM,"Metals - Aluminium","15005.281699789999","81.3","5.084106139028466"
Suzlon Energy Ltd,SUZLON,"Renewable Energy Equipment & Services","14868.414260075","10.2","-74.4947856108775"
Redington (India) Ltd,REDINGTON,"Technology Hardware","14700.76542495","182.55","11.485780582189324"
